,movie_title,release_year,movie_rating,director,star_one,star_two,star_three,star_four,movie_length,genre,imdb_metascore,imdb_stars,imdb_votes,imdb_gross
0,Titanic,1997,PG-13,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,194,"Drama, Romance            ",75,7.9,"1,168,681",$659.33M
1,Star Wars: Episode I - The Phantom Menace,1999,PG,George Lucas,Ewan McGregor,Liam Neeson,Natalie Portman,Jake Lloyd,136,"Action, Adventure, Fantasy            ",51,6.5,"804,938",$474.54M
2,The Lion King,1994,G,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,88,"Animation, Adventure, Drama            ",88,8.5,"1,054,225",$422.78M
3,Jurassic Park,1993,PG-13,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,127,"Action, Adventure, Sci-Fi            ",68,8.2,"985,760",$402.45M
4,Forrest Gump,1994,PG-13,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,142,"Drama, Romance            ",82,8.8,"2,066,784",$330.25M
5,Independence Day,1996,PG-13,Roland Emmerich,Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell,145,"Action, Adventure, Sci-Fi            ",59,7.0,"576,290",$306.17M
6,The Sixth Sense,1999,PG-13,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,107,"Drama, Mystery, Thriller            ",64,8.2,"990,498",$293.51M
7,Home Alone,1990,PG,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard,103,"Comedy, Family            ",63,7.7,"568,057",$285.76M
8,Men in Black,1997,PG-13,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Linda Fiorentino,Vincent D'Onofrio,98,"Action, Adventure, Comedy            ",71,7.3,"569,403",$250.69M
9,Toy Story 2,1999,G,John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen,92,"Animation, Adventure, Comedy            ",88,7.9,"581,207",$245.85M
10,Twister,I 1996,PG-13,Jan de Bont,Helen Hunt,Bill Paxton,Cary Elwes,Jami Gertz,113,"Action, Adventure, Thriller            ",68,6.4,"197,968",$241.72M
11,The Lost World: Jurassic Park,1997,PG-13,Steven Spielberg,Jeff Goldblum,Julianne Moore,Pete Postlethwaite,Vince Vaughn,129,"Action, Adventure, Sci-Fi            ",59,6.5,"419,097",$229.09M
12,Mrs. Doubtfire,1993,PG-13,Chris Columbus,Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein,125,"Comedy, Drama            ",53,7.1,"269,359",$219.20M
13,Beauty and the Beast,1991,G,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti,84,"Animation, Family, Fantasy            ",95,8.0,"455,164",$218.97M
14,Ghost,1990,PG-13,Jerry Zucker,Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn,127,"Drama, Fantasy, Romance            ",52,7.1,"218,652",$217.63M
15,Aladdin,1992,G,Ron Clements,John Musker,Scott Weinger,Robin Williams,Linda Larkin,90,"Animation, Adventure, Comedy            ",86,8.0,"419,986",$217.35M
16,Saving Private Ryan,1998,R,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,169,"Drama, War            ",91,8.6,"1,385,755",$216.54M
17,Austin Powers: The Spy Who Shagged Me,1999,PG-13,Jay Roach,Mike Myers,Heather Graham,Michael York,Robert Wagner,95,"Action, Adventure, Comedy            ",59,6.6,"235,166",$206.04M
18,Terminator 2: Judgment Day,1991,R,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,137,"Action, Sci-Fi            ",75,8.6,"1,095,452",$204.84M
19,Armageddon,1998,PG-13,Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck,Liv Tyler,151,"Action, Adventure, Sci-Fi            ",42,6.7,"427,428",$201.57M
20,Toy Story,1995,G,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,81,"Animation, Adventure, Comedy            ",95,8.3,"990,959",$191.80M
21,Dances with Wolves,1990,PG-13,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,181,"Adventure, Drama, Western            ",72,8.0,"266,369",$184.21M
22,Batman Forever,1995,PG-13,Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,121,"Action, Adventure            ",51,5.4,"254,315",$184.03M
23,The Fugitive,1993,PG-13,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,130,"Action, Crime, Drama            ",87,7.8,"296,460",$183.88M
24,Liar Liar,1997,PG-13,Tom Shadyac,Jim Carrey,Maura Tierney,Amanda Donohoe,Jennifer Tilly,86,"Comedy, Fantasy            ",70,6.9,"310,660",$181.41M
25,Mission: Impossible,1996,PG-13,Brian De Palma,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,110,"Action, Adventure, Thriller            ",59,7.1,"427,565",$180.98M
26,Pretty Woman,1990,R,Garry Marshall,Richard Gere,Julia Roberts,Jason Alexander,Laura San Giacomo,119,"Comedy, Romance            ",51,7.1,"326,586",$178.41M
27,There's Something About Mary,1998,R,Bobby Farrelly,Peter Farrelly,Cameron Diaz,Matt Dillon,Ben Stiller,119,"Comedy, Romance            ",69,7.1,"312,868",$176.48M
28,Apollo 13,I 1995,PG,Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,140,"Adventure, Drama, History            ",77,7.7,"296,424",$173.84M
29,Home Alone 2: Lost in New York,1992,PG,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara,120,"Adventure, Comedy, Crime            ",46,6.8,"355,279",$173.59M
30,Air Force One,1997,R,Wolfgang Petersen,Harrison Ford,Gary Oldman,Glenn Close,Wendy Crewson,124,"Action, Drama, Thriller            ",61,6.5,"197,653",$172.96M
31,The Matrix,1999,R,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,136,"Action, Sci-Fi            ",73,8.7,"1,904,941",$171.48M
32,Tarzan,1999,G,Chris Buck,Kevin Lima,Tony Goldwyn,Minnie Driver,Brian Blessed,88,"Animation, Adventure, Comedy            ",79,7.3,"227,859",$171.09M
33,Robin Hood: Prince of Thieves,1991,PG-13,Kevin Reynolds,Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio,Christian Slater,143,"Action, Adventure, Drama            ",51,6.9,"195,194",$165.50M
34,Big Daddy,1999,PG-13,Dennis Dugan,Adam Sandler,Joey Lauren Adams,Jon Stewart,Cole Sprouse,93,"Comedy, Drama            ",41,6.4,"219,079",$163.48M
35,Batman Returns,1992,PG-13,Tim Burton,Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken,126,"Action, Crime, Fantasy            ",68,7.1,"306,596",$162.83M
36,A Bug's Life,I 1998,G,John Lasseter,Andrew Stanton,Kevin Spacey,David Foley,Julia Louis-Dreyfus,95,"Animation, Adventure, Comedy            ",77,7.2,"294,244",$162.80M
37,The Waterboy,1998,PG-13,Frank Coraci,Adam Sandler,Kathy Bates,Henry Winkler,Fairuza Balk,90,"Comedy, Sport            ",41,6.1,"165,867",$161.49M
38,The Firm,1993,R,Sydney Pollack,Tom Cruise,Jeanne Tripplehorn,Gene Hackman,Hal Holbrook,154,"Drama, Mystery, Thriller            ",58,6.8,"136,433",$158.35M
39,The Mummy,1999,PG-13,Stephen Sommers,Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,124,"Action, Adventure, Fantasy            ",48,7.1,"430,920",$155.25M
40,Jerry Maguire,1996,R,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,Kelly Preston,139,"Comedy, Drama, Romance            ",77,7.3,"267,967",$153.95M
41,Runaway Bride,1999,PG,Garry Marshall,Julia Roberts,Richard Gere,Joan Cusack,Hector Elizondo,116,"Comedy, Romance            ",39,5.6,"99,551",$152.26M
42,As Good as It Gets,1997,PG-13,James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.,139,"Comedy, Drama, Romance            ",67,7.7,"300,054",$148.48M
43,True Lies,1994,R,James Cameron,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Bill Paxton,141,"Action, Comedy, Thriller            ",63,7.3,"260,311",$146.28M
44,The Santa Clause,1994,PG,John Pasquin,Tim Allen,Judge Reinhold,Wendy Crewson,Eric Lloyd,97,"Comedy, Drama, Family            ",57,6.5,"117,946",$144.83M
45,Lethal Weapon 3,1992,R,Richard Donner,Mel Gibson,Danny Glover,Joe Pesci,Rene Russo,118,"Action, Crime, Thriller            ",40,6.7,"169,698",$144.73M
46,Doctor Dolittle,1998,PG-13,Betty Thomas,Eddie Murphy,Peter Boyle,Ossie Davis,Oliver Platt,85,"Comedy, Family, Fantasy            ",46,5.4,"97,853",$144.16M
47,Pocahontas,I 1995,G,Mike Gabriel,Eric Goldberg,Mel Gibson,Linda Hunt,Christian Bale,81,"Animation, Adventure, Drama            ",58,6.7,"188,688",$141.60M
48,A Few Good Men,1992,R,Rob Reiner,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,138,"Drama, Thriller            ",62,7.7,"265,654",$141.34M
49,Rush Hour,1998,PG-13,Brett Ratner,Jackie Chan,Chris Tucker,Ken Leung,Tom Wilkinson,98,"Action, Comedy, Crime            ",60,7.0,"270,311",$141.15M
